target distance: 100,step size: 20
1: (x,y) = (-19.9841, 0.796418)
2: (x,y) = (-0.312382, -2.81219)
3: (x,y) = (-19.9514, 0.970397)
4: (x,y) = (0.0249087, 1.94307)
5: (x,y) = (17.5764, -7.64571)
6: (x,y) = (23.8404, -26.6395)
7: (x,y) = (38.0136, -40.7505)
8: (x,y) = (23.4703, -54.4798)
9: (x,y) = (17.3747, -35.4313)
10: (x,y) = (6.19892, -52.0175)
11: (x,y) = (10.5874, -71.5301)
12: (x,y) = (-3.20654, -86.012)
13: (x,y) = (10.1976, -100.856)
after 13 steps, the subject has the following location:
(x,y) = (10.1976, -100.856)
or
(m,a) = (101.37,-0.100768)
average outward distance per step = 7.79767
1: (x,y) = (-11.4676, -16.3858)
2: (x,y) = (2.70597, -2.27517)
3: (x,y) = (22.6823, -3.24844)
4: (x,y) = (26.7253, 16.3386)
5: (x,y) = (9.61519, 26.6946)
6: (x,y) = (-3.65749, 11.7334)
7: (x,y) = (-5.95319, 31.6012)
8: (x,y) = (8.94948, 44.9395)
9: (x,y) = (22.6143, 30.3356)
10: (x,y) = (7.47822, 17.2628)
11: (x,y) = (6.24042, 37.2244)
12: (x,y) = (-2.95765, 19.4651)
13: (x,y) = (-22.1361, 25.1383)
14: (x,y) = (-21.4288, 5.15081)
15: (x,y) = (-1.89696, 9.45292)
16: (x,y) = (-21.536, 13.2355)
17: (x,y) = (-26.7841, -6.06366)
18: (x,y) = (-30.3056, -25.7512)
19: (x,y) = (-16.384, -11.3919)
20: (x,y) = (-3.24471, -26.4703)
21: (x,y) = (-5.18895, -46.3756)
22: (x,y) = (2.73011, -28.0102)
23: (x,y) = (-9.5907, -12.2559)
24: (x,y) = (-1.34778, 5.96644)
25: (x,y) = (-17.3705, 17.9361)
26: (x,y) = (-22.9594, -1.26711)
27: (x,y) = (-42.9545, -0.824578)
28: (x,y) = (-23.3497, -4.78085)
29: (x,y) = (-6.61623, 6.17323)
30: (x,y) = (5.28194, -9.90264)
31: (x,y) = (24.3032, -3.72276)
32: (x,y) = (6.19139, -12.2058)
33: (x,y) = (18.9266, 3.21543)
34: (x,y) = (35.756, 14.0215)
35: (x,y) = (35.756, 34.0215)
36: (x,y) = (43.3482, 15.5185)
37: (x,y) = (41.7566, -4.41805)
38: (x,y) = (23.9567, 4.70134)
39: (x,y) = (22.3657, 24.638)
40: (x,y) = (41.2744, 18.1218)
41: (x,y) = (60.8063, 22.4239)
42: (x,y) = (74.9794, 8.31285)
43: (x,y) = (91.7126, -2.64174)
44: (x,y) = (110.734, -8.82219)
after 44 steps, the subject has the following location:
(x,y) = (110.734, -8.82219)
or
(m,a) = (111.085,-1.49129)
average outward distance per step = 2.52465
1: (x,y) = (-18.3302, 8.00026)
2: (x,y) = (1.64614, 8.97293)
3: (x,y) = (18.8475, 19.1765)
4: (x,y) = (15.326, -0.511063)
5: (x,y) = (35.2554, -2.19085)
6: (x,y) = (43.4977, -20.4135)
7: (x,y) = (50.4301, -39.1736)
8: (x,y) = (62.611, -55.0363)
9: (x,y) = (51.4357, -38.4498)
10: (x,y) = (54.7829, -18.7318)
11: (x,y) = (36.5972, -10.4083)
12: (x,y) = (55.7247, -16.2511)
13: (x,y) = (37.1228, -8.90473)
14: (x,y) = (45.5261, 9.24421)
15: (x,y) = (57.1379, -7.03976)
16: (x,y) = (59.2582, 12.8475)
17: (x,y) = (77.1384, 21.8085)
18: (x,y) = (70.706, 2.8711)
19: (x,y) = (78.2987, 21.3738)
20: (x,y) = (76.355, 41.2792)
21: (x,y) = (91.0188, 27.6787)
22: (x,y) = (72.4167, 20.3329)
23: (x,y) = (62.2889, 3.08678)
24: (x,y) = (79.307, 13.5932)
25: (x,y) = (97.4929, 5.27028)
26: (x,y) = (116.621, 11.1125)
after 26 steps, the subject has the following location:
(x,y) = (116.621, 11.1125)
or
(m,a) = (117.149,1.4758)
average outward distance per step = 4.50572
1: (x,y) = (-5.58831, 19.2034)
2: (x,y) = (-1.89327, -0.452297)
3: (x,y) = (-21.5963, -3.88605)
4: (x,y) = (-1.64035, -5.21279)
5: (x,y) = (-0.225907, -25.1627)
6: (x,y) = (-18.9549, -18.1468)
7: (x,y) = (-2.61974, -6.60721)
8: (x,y) = (16.508, -0.765012)
9: (x,y) = (24.1001, -19.268)
10: (x,y) = (14.5896, -1.6739)
11: (x,y) = (8.83215, 17.4795)
12: (x,y) = (28.6895, 15.0953)
13: (x,y) = (41.4243, -0.326347)
14: (x,y) = (22.9554, 7.34818)
15: (x,y) = (35.9616, 22.5415)
16: (x,y) = (45.9364, 39.8766)
17: (x,y) = (52.8688, 21.1165)
18: (x,y) = (33.5466, 26.2791)
19: (x,y) = (53.3587, 29.0138)
20: (x,y) = (40.7605, 13.4805)
21: (x,y) = (21.2677, 17.9559)
22: (x,y) = (38.8192, 8.36713)
23: (x,y) = (54.9472, -3.46026)
24: (x,y) = (42.0764, 11.848)
25: (x,y) = (35.3103, 30.6688)
26: (x,y) = (19.0782, 42.3529)
27: (x,y) = (6.75744, 58.1072)
28: (x,y) = (-13.1203, 60.3156)
29: (x,y) = (-4.08029, 42.4752)
30: (x,y) = (11.1705, 29.5363)
31: (x,y) = (-8.74325, 27.6808)
32: (x,y) = (-19.919, 11.0946)
33: (x,y) = (-17.7987, 30.9819)
34: (x,y) = (-26.9968, 13.2225)
35: (x,y) = (-7.97566, 7.04208)
36: (x,y) = (-22.9958, -6.1638)
37: (x,y) = (-33.4273, -23.2279)
38: (x,y) = (-25.024, -5.07896)
39: (x,y) = (-31.4559, 13.8586)
40: (x,y) = (-35.6721, -5.69194)
41: (x,y) = (-55.5858, -7.54747)
42: (x,y) = (-43.4049, -23.4102)
43: (x,y) = (-61.5906, -15.0867)
44: (x,y) = (-74.8633, -30.0479)
45: (x,y) = (-89.4066, -43.7772)
46: (x,y) = (-73.4905, -55.8882)
47: (x,y) = (-73.1364, -35.8913)
48: (x,y) = (-93.1034, -37.0408)
after 48 steps, the subject has the following location:
(x,y) = (-93.1034, -37.0408)
or
(m,a) = (100.201,1.19215)
average outward distance per step = 2.08752
1: (x,y) = (9.35437, -17.6775)
2: (x,y) = (12.1768, -37.4774)
3: (x,y) = (11.9997, -57.4766)
4: (x,y) = (28.7332, -46.5225)
5: (x,y) = (48.6891, -47.8493)
6: (x,y) = (42.2573, -28.9117)
7: (x,y) = (58.5925, -17.3722)
8: (x,y) = (42.5694, -29.3414)
9: (x,y) = (26.7611, -17.0899)
10: (x,y) = (35.4844, 0.907408)
11: (x,y) = (54.275, 7.75674)
12: (x,y) = (67.2812, 22.9501)
13: (x,y) = (48.5522, 29.9661)
14: (x,y) = (46.2559, 10.0983)
15: (x,y) = (45.3716, 30.0788)
16: (x,y) = (62.9234, 39.667)
17: (x,y) = (47.9037, 52.8733)
18: (x,y) = (38.3932, 70.4674)
19: (x,y) = (40.8653, 90.314)
20: (x,y) = (26.5678, 104.299)
after 20 steps, the subject has the following location:
(x,y) = (26.5678, 104.299)
or
(m,a) = (107.63,0.249422)
average outward distance per step = 5.38148
